x_center_lon,y_center_lat,x_min_lon,y_min_lat,x_max_lon,y_max_lat,scale,saliency
-79.5625, 23.133333333333333, -79.625, 23.022222222222222, -79.5, 23.244444444444444, 10, 16405
-79.675, 23.044444444444444, -79.7375, 22.933333333333334, -79.6125, 23.155555555555555, 10, 13021
-80.3875, 23.51111111111111, -80.45, 23.4, -80.325, 23.62222222222222, 10, 12518
-79.5625, 22.266666666666666, -79.625, 22.155555555555555, -79.5, 22.37777777777778, 10, 12459
-79.5625, 22.48888888888889, -79.625, 22.37777777777778, -79.5, 22.6, 10, 11688
-80.4375, 21.444444444444443, -80.5, 21.333333333333332, -80.375, 21.555555555555557, 10, 11334
-79.775, 22.244444444444444, -79.8375, 22.133333333333333, -79.7125, 22.355555555555554, 10, 11056
-82.1875, 22.22222222222222, -82.25, 22.11111111111111, -82.125, 22.333333333333332, 10, 11004
-81.575, 25.355555555555554, -81.6375, 25.244444444444444, -81.5125, 25.46666666666667, 10, 10957
-81.1, 24.822222222222223, -81.1625, 24.711111111111112, -81.0375, 24.933333333333334, 10, 10860
-81.0, 24.08888888888889, -81.0625, 23.977777777777778, -80.9375, 24.2, 10, 10777
-81.1375, 24.333333333333332, -81.2, 24.22222222222222, -81.075, 24.444444444444443, 10, 10719
-80.975, 24.333333333333332, -81.0375, 24.22222222222222, -80.9125, 24.444444444444443, 10, 10610
-80.4625, 21.666666666666668, -80.525, 21.555555555555557, -80.4, 21.77777777777778, 10, 10574
-79.6, 21.91111111111111, -79.6625, 21.799999999999997, -79.5375, 22.022222222222222, 10, 10510
-80.9625, 24.555555555555554, -81.025, 24.444444444444443, -80.9, 24.666666666666664, 10, 10493
-81.0, 23.866666666666667, -81.0625, 23.755555555555553, -80.9375, 23.977777777777778, 10, 10334
-80.0625, 24.8, -80.125, 24.68888888888889, -80.0, 24.91111111111111, 10, 10319
-80.4375, 22.866666666666667, -80.5, 22.755555555555553, -80.375, 22.977777777777778, 10, 10280
-81.175, 23.933333333333334, -81.2375, 23.822222222222223, -81.1125, 24.044444444444444, 10, 10236
-79.5625, 22.91111111111111, -79.625, 22.799999999999997, -79.5, 23.022222222222222, 10, 10146
-80.4375, 22.644444444444442, -80.5, 22.53333333333333, -80.375, 22.755555555555553, 10, 10092
-80.475, 21.88888888888889, -80.5375, 21.77777777777778, -80.4125, 22.0, 10, 9998
-80.4625, 22.31111111111111, -80.525, 22.2, -80.4, 22.422222222222224, 10, 9948
-80.95, 24.77777777777778, -81.0125, 24.666666666666664, -80.8875, 24.88888888888889, 10, 9895
-81.425, 22.822222222222223, -81.4875, 22.71111111111111, -81.3625, 22.933333333333334, 10, 9810
-81.1125, 24.555555555555554, -81.175, 24.444444444444443, -81.05, 24.666666666666664, 10, 9552
-80.4625, 23.08888888888889, -80.525, 22.977777777777778, -80.4, 23.2, 10, 9523
-81.225, 23.711111111111112, -81.2875, 23.6, -81.1625, 23.822222222222223, 10, 9485
-83.05, 26.466666666666665, -83.1125, 26.355555555555554, -82.9875, 26.577777777777776, 10, 9468
-81.625, 25.133333333333333, -81.6875, 25.022222222222222, -81.5625, 25.244444444444444, 10, 9460
-81.0, 23.644444444444442, -81.0625, 23.53333333333333, -80.9375, 23.755555555555553, 10, 9383
-80.95, 25.0, -81.0125, 24.88888888888889, -80.8875, 25.11111111111111, 10, 9253
-79.5875, 22.688888888888886, -79.65, 22.577777777777776, -79.525, 22.799999999999997, 10, 9116
-79.6625, 23.755555555555556, -79.725, 23.644444444444446, -79.6, 23.866666666666667, 10, 9046
-80.475, 22.11111111111111, -80.5375, 22.0, -80.4125, 22.22222222222222, 10, 8925
-81.3, 23.48888888888889, -81.3625, 23.37777777777778, -81.2375, 23.6, 10, 8889
-80.9625, 25.22222222222222, -81.025, 25.11111111111111, -80.9, 25.333333333333332, 10, 8639
-80.1875, 25.0, -80.25, 24.88888888888889, -80.125, 25.11111111111111, 10, 8567
-79.5625, 24.711111111111112, -79.625, 24.6, -79.5, 24.822222222222223, 10, 8556
-79.5625, 21.688888888888886, -79.625, 21.577777777777776, -79.5, 21.799999999999997, 10, 8542
-79.8125, 24.644444444444446, -79.875, 24.53333333333333, -79.75, 24.755555555555556, 10, 8529
-79.7875, 23.8, -79.85, 23.68888888888889, -79.725, 23.91111111111111, 10, 8504
-80.35, 23.288888888888888, -80.4125, 23.177777777777777, -80.2875, 23.4, 10, 8450
-79.9, 22.288888888888888, -79.9625, 22.177777777777777, -79.8375, 22.4, 10, 8445
-81.0, 23.42222222222222, -81.0625, 23.31111111111111, -80.9375, 23.53333333333333, 10, 8380
-79.6875, 24.68888888888889, -79.75, 24.577777777777776, -79.625, 24.8, 10, 8258
-81.3375, 26.8, -81.4, 26.68888888888889, -81.275, 26.91111111111111, 10, 8213
