x_center_lon,y_center_lat,x_min_lon,y_min_lat,x_max_lon,y_max_lat,scale
-79.63125, 23.055555555555557, -79.6625, 23.0, -79.6, 23.11111111111111, 5
-79.53125, 23.144444444444446, -79.5625, 23.08888888888889, -79.5, 23.2, 5
-79.53125, 23.03333333333333, -79.5625, 22.977777777777778, -79.5, 23.08888888888889, 5
-79.53125, 22.21111111111111, -79.5625, 22.155555555555555, -79.5, 22.266666666666666, 5
-79.56875, 23.233333333333334, -79.6, 23.177777777777777, -79.5375, 23.288888888888888, 5
-79.69375, 23.077777777777776, -79.725, 23.022222222222222, -79.6625, 23.133333333333333, 5
-80.41875, 23.58888888888889, -80.45, 23.53333333333333, -80.3875, 23.644444444444446, 5
-82.19375, 22.21111111111111, -82.225, 22.155555555555555, -82.1625, 22.266666666666666, 5
-80.38125, 23.477777777777778, -80.4125, 23.422222222222224, -80.35, 23.53333333333333, 5
-79.60625, 22.944444444444443, -79.6375, 22.88888888888889, -79.575, 23.0, 5
-80.10625, 24.81111111111111, -80.1375, 24.755555555555556, -80.075, 24.866666666666667, 5
-80.41875, 21.477777777777778, -80.45, 21.422222222222224, -80.3875, 21.53333333333333, 5
-79.75625, 22.21111111111111, -79.7875, 22.155555555555555, -79.725, 22.266666666666666, 5
-79.54375, 22.455555555555556, -79.575, 22.4, -79.5125, 22.511111111111113, 5
-80.43125, 21.58888888888889, -80.4625, 21.53333333333333, -80.4, 21.644444444444446, 5
-79.64375, 22.72222222222222, -79.675, 22.666666666666664, -79.6125, 22.77777777777778, 5
-79.56875, 21.9, -79.6, 21.84444444444444, -79.5375, 21.955555555555556, 5
-79.53125, 22.566666666666666, -79.5625, 22.511111111111113, -79.5, 22.62222222222222, 5
-79.81875, 22.21111111111111, -79.85, 22.155555555555555, -79.7875, 22.266666666666666, 5
-79.79375, 22.011111111111113, -79.825, 21.955555555555556, -79.7625, 22.066666666666666, 5
-79.53125, 21.7, -79.5625, 21.644444444444446, -79.5, 21.755555555555553, 5
-81.08125, 24.87777777777778, -81.1125, 24.822222222222223, -81.05, 24.933333333333334, 5
-80.04375, 24.744444444444447, -80.075, 24.68888888888889, -80.0125, 24.8, 5
-79.53125, 22.677777777777777, -79.5625, 22.62222222222222, -79.5, 22.733333333333334, 5
-81.08125, 24.700000000000003, -81.1125, 24.644444444444446, -81.05, 24.755555555555556, 5
-81.40625, 22.833333333333336, -81.4375, 22.77777777777778, -81.375, 22.88888888888889, 5
-79.59375, 22.233333333333334, -79.625, 22.177777777777777, -79.5625, 22.288888888888888, 5
-80.38125, 23.366666666666667, -80.4125, 23.31111111111111, -80.35, 23.422222222222224, 5
-80.44375, 21.7, -80.475, 21.644444444444446, -80.4125, 21.755555555555553, 5
-81.58125, 25.477777777777774, -81.6125, 25.42222222222222, -81.55, 25.53333333333333, 5
-82.13125, 22.233333333333334, -82.1625, 22.177777777777777, -82.1, 22.288888888888888, 5
-81.11875, 24.21111111111111, -81.15, 24.155555555555555, -81.0875, 24.266666666666666, 5
-81.09375, 24.41111111111111, -81.125, 24.355555555555554, -81.0625, 24.46666666666667, 5
-80.40625, 22.944444444444443, -80.4375, 22.88888888888889, -80.375, 23.0, 5
-79.63125, 21.988888888888887, -79.6625, 21.933333333333334, -79.6, 22.044444444444444, 5
-81.03125, 24.077777777777776, -81.0625, 24.022222222222222, -81.0, 24.133333333333333, 5
-81.01875, 24.18888888888889, -81.05, 24.133333333333333, -80.9875, 24.244444444444444, 5
-81.58125, 25.366666666666667, -81.6125, 25.31111111111111, -81.55, 25.42222222222222, 5
-79.53125, 22.322222222222223, -79.5625, 22.266666666666666, -79.5, 22.37777777777778, 5
-82.25625, 22.144444444444446, -82.2875, 22.08888888888889, -82.225, 22.2, 5
-81.06875, 25.055555555555557, -81.1, 25.0, -81.0375, 25.11111111111111, 5
-81.00625, 24.299999999999997, -81.0375, 24.244444444444444, -80.975, 24.355555555555554, 5
-80.99375, 24.5, -81.025, 24.444444444444443, -80.9625, 24.555555555555557, 5
-81.09375, 24.58888888888889, -81.125, 24.53333333333333, -81.0625, 24.644444444444446, 5
-81.03125, 23.96666666666667, -81.0625, 23.91111111111111, -81.0, 24.022222222222222, 5
-80.40625, 22.833333333333336, -80.4375, 22.77777777777778, -80.375, 22.88888888888889, 5
