x_center_lon,y_center_lat,x_min_lon,y_min_lat,x_max_lon,y_max_lat,scale,saliency
-67.64166666666667, -19.84166666666667, -67.68333333333334, -19.883333333333333, -67.6, -19.8, 5, 5027
-71.95833333333334, -17.141666666666666, -72.0, -17.183333333333334, -71.91666666666667, -17.1, 5, 4976
-71.64166666666667, -17.308333333333334, -71.68333333333334, -17.35, -71.6, -17.266666666666666, 5, 4893
-69.30833333333334, -16.174999999999997, -69.35, -16.216666666666665, -69.26666666666667, -16.133333333333333, 5, 4891
-69.39166666666667, -16.125, -69.43333333333334, -16.166666666666668, -69.35, -16.083333333333332, 5, 4875
-68.99166666666667, -16.491666666666667, -69.03333333333333, -16.533333333333335, -68.95, -16.45, 5, 4859
-70.40833333333333, -18.425, -70.45, -18.46666666666667, -70.36666666666666, -18.383333333333333, 5, 4838
-69.225, -16.191666666666666, -69.26666666666667, -16.233333333333334, -69.18333333333334, -16.15, 5, 4793
-71.725, -17.275, -71.76666666666667, -17.316666666666666, -71.68333333333334, -17.233333333333334, 5, 4770
-68.90833333333333, -16.541666666666664, -68.95, -16.583333333333332, -68.86666666666666, -16.5, 5, 4743
-68.94166666666666, -16.358333333333334, -68.98333333333333, -16.4, -68.9, -16.316666666666666, 5, 4730
-71.80833333333334, -17.258333333333333, -71.85, -17.3, -71.76666666666667, -17.216666666666665, 5, 4686
-69.30833333333334, -16.09166666666667, -69.35, -16.133333333333333, -69.26666666666667, -16.05, 5, 4686
-71.89166666666667, -17.225, -71.93333333333334, -17.266666666666666, -71.85, -17.183333333333334, 5, 4635
-71.57499999999999, -17.391666666666666, -71.61666666666666, -17.433333333333334, -71.53333333333333, -17.35, 5, 4587
-69.225, -16.108333333333334, -69.26666666666667, -16.15, -69.18333333333334, -16.066666666666666, 5, 4587
-68.74166666666667, -16.258333333333333, -68.78333333333333, -16.3, -68.7, -16.216666666666665, 5, 4562
-70.39166666666667, -18.508333333333333, -70.43333333333334, -18.55, -70.35, -18.46666666666667, 5, 4522
-67.74166666666667, -19.741666666666667, -67.78333333333333, -19.78333333333333, -67.7, -19.7, 5, 4515
-70.49166666666667, -18.358333333333334, -70.53333333333333, -18.4, -70.45, -18.316666666666666, 5, 4514
-68.65833333333333, -16.275, -68.7, -16.316666666666666, -68.61666666666666, -16.233333333333334, 5, 4404
-68.95833333333334, -16.058333333333334, -69.0, -16.1, -68.91666666666667, -16.016666666666666, 5, 4394
-69.39166666666667, -16.041666666666664, -69.43333333333334, -16.083333333333332, -69.35, -16.0, 5, 4368
-71.525, -17.475, -71.56666666666666, -17.516666666666666, -71.48333333333333, -17.433333333333334, 5, 4360
-68.85833333333333, -16.358333333333334, -68.9, -16.4, -68.81666666666666, -16.316666666666666, 5, 4359
-68.34166666666667, -16.041666666666664, -68.38333333333334, -16.083333333333332, -68.3, -16.0, 5, 4350
-70.45833333333334, -23.59166666666667, -70.5, -23.633333333333333, -70.41666666666667, -23.55, 5, 4327
-67.825, -19.741666666666667, -67.86666666666667, -19.78333333333333, -67.78333333333333, -19.7, 5, 4212
-71.725, -17.358333333333334, -71.76666666666667, -17.4, -71.68333333333334, -17.316666666666666, 5, 4204
