x_center_lon,y_center_lat,x_min_lon,y_min_lat,x_max_lon,y_max_lat,scale,saliency
-80.9875, 24.200000000000003, -81.3, 23.644444444444446, -80.675, 24.755555555555556, 50, 188915
-79.8125, 22.6, -80.125, 22.044444444444444, -79.5, 23.155555555555555, 50, 181004
-79.8125, 24.266666666666666, -80.125, 23.71111111111111, -79.5, 24.822222222222223, 50, 163592
-80.6875, 23.08888888888889, -81.0, 22.53333333333333, -80.375, 23.644444444444446, 50, 159868
-81.05, 25.31111111111111, -81.3625, 24.755555555555556, -80.7375, 25.866666666666667, 50, 147747
-80.6125, 21.888888888888886, -80.925, 21.333333333333332, -80.3, 22.444444444444443, 50, 142878
-81.2125, 26.422222222222224, -81.525, 25.866666666666667, -80.9, 26.977777777777778, 50, 131906
-79.8125, 25.37777777777778, -80.125, 24.822222222222223, -79.5, 25.933333333333334, 50, 128824
-83.0875, 26.200000000000003, -83.4, 25.644444444444446, -82.775, 26.755555555555556, 50, 126750
-81.3125, 23.08888888888889, -81.625, 22.53333333333333, -81.0, 23.644444444444446, 50, 120940
-80.4375, 24.6, -80.75, 24.044444444444444, -80.125, 25.155555555555555, 50, 114467
-82.6, 24.68888888888889, -82.9125, 24.133333333333333, -82.2875, 25.244444444444444, 50, 107831
-82.05, 22.133333333333333, -82.3625, 21.577777777777776, -81.7375, 22.68888888888889, 50, 107607
-83.6875, 28.68888888888889, -84.0, 28.133333333333333, -83.375, 29.244444444444444, 50, 100411
-83.3125, 27.355555555555554, -83.625, 26.8, -83.0, 27.91111111111111, 50, 100134
-81.65, 28.53333333333333, -81.9625, 27.977777777777778, -81.3375, 29.08888888888889, 50, 94459
