x_center_lon,y_center_lat,x_min_lon,y_min_lat,x_max_lon,y_max_lat,scale,saliency
-120.04166666666666, 39.04166666666667, -120.08333333333333, 39.0, -120.0, 39.083333333333336, 5, 5615
-120.05833333333334, 39.125, -120.1, 39.083333333333336, -120.01666666666667, 39.166666666666664, 5, 5556
-120.17500000000001, 38.875, -120.21666666666667, 38.833333333333336, -120.13333333333334, 38.916666666666664, 5, 4367
-120.04166666666666, 39.20833333333333, -120.08333333333333, 39.166666666666664, -120.0, 39.25, 5, 4152
-120.14166666666667, 39.108333333333334, -120.18333333333334, 39.06666666666667, -120.1, 39.15, 5, 3887
-120.04166666666666, 38.95833333333333, -120.08333333333333, 38.916666666666664, -120.0, 39.0, 5, 3725
-120.225, 38.95833333333333, -120.26666666666667, 38.916666666666664, -120.18333333333334, 39.0, 5, 3694
-120.04166666666666, 38.641666666666666, -120.08333333333333, 38.6, -120.0, 38.68333333333333, 5, 3369
-120.10833333333333, 33.95833333333333, -120.15, 33.916666666666664, -120.06666666666666, 34.0, 5, 3154
-120.125, 38.608333333333334, -120.16666666666667, 38.56666666666667, -120.08333333333333, 38.65, 5, 2942
-121.875, 36.79166666666667, -121.91666666666667, 36.75, -121.83333333333333, 36.833333333333336, 5, 2869
-120.94166666666666, 35.375, -120.98333333333333, 35.333333333333336, -120.9, 35.416666666666664, 5, 2858
-120.725, 35.09166666666667, -120.76666666666667, 35.05, -120.68333333333334, 35.13333333333333, 5, 2780
-121.92500000000001, 36.875, -121.96666666666667, 36.833333333333336, -121.88333333333334, 36.916666666666664, 5, 2694
-121.89166666666667, 36.70833333333333, -121.93333333333334, 36.666666666666664, -121.85, 36.75, 5, 2684
-120.125, 39.025000000000006, -120.16666666666667, 38.983333333333334, -120.08333333333333, 39.06666666666667, 5, 2634
-120.725, 35.00833333333333, -120.76666666666667, 34.96666666666667, -120.68333333333334, 35.05, 5, 2561
-120.50833333333333, 38.675, -120.55, 38.63333333333333, -120.46666666666667, 38.71666666666667, 5, 2537
-121.025, 35.391666666666666, -121.06666666666666, 35.35, -120.98333333333333, 35.43333333333334, 5, 2516
