x_center_lon,y_center_lat,x_min_lon,y_min_lat,x_max_lon,y_max_lat,scale,saliency
-79.63125, 23.055555555555557, -79.6625, 23.0, -79.6, 23.11111111111111, 5, 5422
-79.53125, 23.144444444444446, -79.5625, 23.08888888888889, -79.5, 23.2, 5, 5400
-79.53125, 23.03333333333333, -79.5625, 22.977777777777778, -79.5, 23.08888888888889, 5, 4360
-79.53125, 22.21111111111111, -79.5625, 22.155555555555555, -79.5, 22.266666666666666, 5, 4125
-79.56875, 23.233333333333334, -79.6, 23.177777777777777, -79.5375, 23.288888888888888, 5, 4053
-79.69375, 23.077777777777776, -79.725, 23.022222222222222, -79.6625, 23.133333333333333, 5, 3807
-80.41875, 23.58888888888889, -80.45, 23.53333333333333, -80.3875, 23.644444444444446, 5, 3598
-82.19375, 22.21111111111111, -82.225, 22.155555555555555, -82.1625, 22.266666666666666, 5, 3467
-80.38125, 23.477777777777778, -80.4125, 23.422222222222224, -80.35, 23.53333333333333, 5, 3458
-79.60625, 22.944444444444443, -79.6375, 22.88888888888889, -79.575, 23.0, 5, 3374
-80.10625, 24.81111111111111, -80.1375, 24.755555555555556, -80.075, 24.866666666666667, 5, 3344
-80.41875, 21.477777777777778, -80.45, 21.422222222222224, -80.3875, 21.53333333333333, 5, 3282
-79.75625, 22.21111111111111, -79.7875, 22.155555555555555, -79.725, 22.266666666666666, 5, 3260
-79.54375, 22.455555555555556, -79.575, 22.4, -79.5125, 22.511111111111113, 5, 3234
-80.43125, 21.58888888888889, -80.4625, 21.53333333333333, -80.4, 21.644444444444446, 5, 3206
-79.64375, 22.72222222222222, -79.675, 22.666666666666664, -79.6125, 22.77777777777778, 5, 3186
-79.56875, 21.9, -79.6, 21.84444444444444, -79.5375, 21.955555555555556, 5, 3179
-79.53125, 22.566666666666666, -79.5625, 22.511111111111113, -79.5, 22.62222222222222, 5, 3089
-79.81875, 22.21111111111111, -79.85, 22.155555555555555, -79.7875, 22.266666666666666, 5, 3079
-79.79375, 22.011111111111113, -79.825, 21.955555555555556, -79.7625, 22.066666666666666, 5, 3029
-79.53125, 21.7, -79.5625, 21.644444444444446, -79.5, 21.755555555555553, 5, 3008
-81.08125, 24.87777777777778, -81.1125, 24.822222222222223, -81.05, 24.933333333333334, 5, 2993
-80.04375, 24.744444444444447, -80.075, 24.68888888888889, -80.0125, 24.8, 5, 2984
-79.53125, 22.677777777777777, -79.5625, 22.62222222222222, -79.5, 22.733333333333334, 5, 2982
-81.08125, 24.700000000000003, -81.1125, 24.644444444444446, -81.05, 24.755555555555556, 5, 2971
-81.40625, 22.833333333333336, -81.4375, 22.77777777777778, -81.375, 22.88888888888889, 5, 2968
-79.59375, 22.233333333333334, -79.625, 22.177777777777777, -79.5625, 22.288888888888888, 5, 2968
